latitude,longitude,elevation
39.779346,-105.190483,1734.72
39.780119,-105.190375,1735.97
39.780367,-105.190564,1737.58
39.780616,-105.190824,1739.53
39.780927,-105.190851,1741.71
39.781161,-105.191157,1743.9
39.781437,-105.191615,1746.1
39.781548,-105.19175,1748.25
39.782038,-105.191795,1751.27
39.782148,-105.192136,1755.11
39.781575,-105.19219,1758.76
39.782038,-105.192738,1763.3
39.781548,-105.192558,1768.48
39.781175,-105.192585,1773.43
39.78143,-105.192774,1778.8
39.780947,-105.192594,1784.84
39.780057,-105.192495,1791.74
39.77927,-105.192585,1799.61
39.778407,-105.192747,1807.39
39.777806,-105.19325,1813.74
39.777226,-105.194094,1818.53
39.77764,-105.193465,1822.18
39.778151,-105.193259,1825.37
39.778655,-105.193259,1828.84
39.778717,-105.19334,1832.61
39.778048,-105.193609,1836.52
39.778165,-105.19369,1840.67
39.777875,-105.19378,1844.58
39.777772,-105.194175,1848.21
39.777426,-105.194678,1851.7
39.777129,-105.195298,1854.71
39.776881,-105.195954,1857.23
39.776729,-105.196205,1859.4
39.776681,-105.196645,1861.36
39.776798,-105.197391,1863.37
39.777116,-105.198056,1865.82
39.777447,-105.198487,1868.96
39.77762,-105.198855,1872.57
39.77831,-105.199556,1876.12
39.778717,-105.200284,1879.14
39.779069,-105.200841,1881.54
39.779201,-105.201209,1883.56
39.779422,-105.201649,1885.63
39.779435,-105.201775,1888.16
39.779511,-105.201928,1891.41
39.779636,-105.202466,1895.53
39.779856,-105.20297,1900.7
39.780298,-105.203778,1906.81
39.780478,-105.204506,1912.59
39.780561,-105.204128,1917.6
39.780719,-105.205009,1922.37
39.780968,-105.205341,1926.29
39.780968,-105.205467,1929.06
39.781051,-105.205377,1931.91
39.781147,-105.205718,1935.52
39.781617,-105.205997,1939.1
39.781955,-105.206518,1942.12
39.781817,-105.205449,1944.76
39.781858,-105.205143,1946.49
39.781527,-105.204757,1947.31
39.781071,-105.204595,1948.04
39.781189,-105.204057,1948.79
39.781341,-105.203886,1949.7
39.78152,-105.203949,1950.82
39.781776,-105.203724,1952.09
39.782487,-105.203841,1953.51
39.782576,-105.203904,1954.7
39.782866,-105.203679,1955.56
39.783149,-105.203778,1956.33
39.783508,-105.203625,1957.5
39.784268,-105.204065,1959.08
39.784137,-105.204928,1960.62
39.784226,-105.205179,1962.24
39.784537,-105.205566,1964.09
39.784606,-105.20597,1966.16
39.784675,-105.20668,1968.27
39.78502,-105.207865,1970.14
39.785158,-105.20888,1971.57
39.785269,-105.209114,1972.45
39.785248,-105.209635,1972.81
39.785317,-105.209914,1972.73
39.785621,-105.210309,1972.37
39.785717,-105.210515,1971.92
39.785745,-105.210659,1971.55
39.785566,-105.211108,1971.39
39.784779,-105.21242,1971.43
39.784206,-105.212905,1971.58
39.78384,-105.213426,1971.79
39.783715,-105.213543,1971.87
39.783357,-105.213264,1971.66
39.782887,-105.213237,1971.3
39.78181,-105.213875,1970.9
39.781299,-105.213695,1970.44
39.780409,-105.213956,1969.87
39.779746,-105.213947,1969.09
39.779608,-105.21401,1968.06
39.779456,-105.214001,1967.0
39.779318,-105.213929,1966.35
39.778048,-105.213875,1966.44
39.777827,-105.21454,1967.26
39.77782,-105.215088,1968.57
39.77753,-105.21666,1970.08
39.777226,-105.217316,1971.58
39.776667,-105.218007,1972.93
39.776515,-105.218474,1974.03
39.776425,-105.219085,1974.82
39.776356,-105.220487,1975.34
39.776398,-105.221771,1975.71
39.776377,-105.222301,1976.0
39.775528,-105.222409,1976.11
39.774036,-105.222086,1975.97
39.773657,-105.222086,1975.49
39.773277,-105.222319,1974.23
39.773008,-105.221807,1971.99
39.772718,-105.221547,1968.53
39.771551,-105.221376,1964.88
39.77144,-105.221286,1962.1
39.771295,-105.220684,1959.65
39.771295,-105.220235,1957.27
39.771406,-105.219795,1954.89
39.771717,-105.219319,1952.3
39.771848,-105.218663,1949.29
39.771641,-105.217675,1946.02
39.771965,-105.217361,1942.58
39.772,-105.216965,1938.98
39.771751,-105.216786,1935.48
39.771516,-105.216076,1932.38
39.771427,-105.21595,1929.75
39.771385,-105.215797,1927.46
39.771427,-105.215429,1925.24
39.771516,-105.215241,1922.81
39.771551,-105.215061,1920.0
39.771482,-105.214935,1916.89
39.771026,-105.214549,1913.63
39.771095,-105.214243,1910.27
39.770992,-105.213947,1906.75
39.77104,-105.213713,1903.27
39.771019,-105.213534,1900.2
39.771047,-105.213345,1897.49
39.771005,-105.213228,1894.62
39.771026,-105.213076,1891.11
39.770916,-105.21268,1886.82
39.77084,-105.212519,1881.89
39.770791,-105.211746,1876.62
39.770729,-105.211575,1871.39
39.770646,-105.211108,1866.53
39.770377,-105.210497,1862.27
39.770156,-105.209869,1858.89
39.769935,-105.209545,1856.65
39.769887,-105.209168,1855.65
39.769887,-105.208997,1855.75
39.76999,-105.208539,1856.79
39.769977,-105.207964,1858.56
39.770066,-105.207596,1860.68
39.770287,-105.207263,1862.75
39.77046,-105.206904,1864.52
39.770729,-105.20588,1865.91
39.770709,-105.205647,1867.03
39.770805,-105.205395,1868.01
39.770888,-105.205386,1868.97
39.771047,-105.20517,1869.91
39.771316,-105.204946,1870.8
39.772007,-105.204811,1871.58
39.772379,-105.20447,1872.2
39.772428,-105.203931,1872.39
39.772607,-105.203697,1872.63
39.772718,-105.202934,1872.83
39.77289,-105.202601,1871.92
39.773111,-105.202026,1869.97
39.773381,-105.20182,1867.47
39.774078,-105.201739,1864.78
39.774382,-105.201595,1862.41
39.77492,-105.202098,1860.73
39.775431,-105.202673,1858.97
39.775797,-105.20279,1856.58
39.776239,-105.202601,1854.2
39.777047,-105.202143,1852.27
39.777226,-105.202071,1851.05
39.777316,-105.201945,1850.57
39.778365,-105.20235,1850.75
39.77849,-105.20235,1851.62
39.778586,-105.202395,1853.08
39.778766,-105.202601,1854.87
39.778855,-105.202637,1856.73
39.778807,-105.202188,1858.6
39.778655,-105.201775,1860.53
39.778552,-105.200975,1862.54
39.778151,-105.199736,1864.59
39.777751,-105.199286,1866.71
39.77762,-105.199026,1869.0
39.777606,-105.198909,1871.56
39.777896,-105.199206,1874.31
39.778262,-105.199511,1876.91
39.778697,-105.200329,1879.09
39.778987,-105.200751,1880.9
39.779069,-105.201029,1882.76
39.77918,-105.201236,1885.24
39.779401,-105.201559,1888.81
39.779587,-105.202341,1893.74
39.779829,-105.202988,1899.84
39.780429,-105.203994,1906.51
39.780478,-105.204506,1912.49
39.780561,-105.204128,1917.56
39.780719,-105.205009,1922.36
39.780968,-105.205341,1926.29
39.780968,-105.205467,1929.06
39.781051,-105.205377,1931.4
39.781071,-105.205629,1933.94
39.781548,-105.20597,1936.73
39.781789,-105.206311,1939.58
39.781976,-105.206626,1942.27
39.781817,-105.205449,1944.81
39.781858,-105.205143,1946.74
39.781196,-105.204416,1947.85
39.781189,-105.204057,1948.72
39.781341,-105.203886,1949.68
39.78152,-105.203949,1950.81
39.781776,-105.203724,1952.09
39.782487,-105.203841,1953.51
39.782576,-105.203904,1954.7
39.782866,-105.203679,1955.56
39.783149,-105.203778,1956.33
39.783508,-105.203625,1957.17
39.78424,-105.203841,1958.2
39.784268,-105.20411,1959.42
39.784157,-105.204775,1960.97
39.784206,-105.205045,1962.96
39.784468,-105.205476,1965.31
39.784779,-105.206985,1967.93
39.785048,-105.208144,1970.3
39.785117,-105.208836,1972.33
39.785352,-105.209186,1973.47
39.785407,-105.208755,1973.01
39.785566,-105.208503,1971.63
39.786649,-105.207515,1970.16
39.78678,-105.207317,1969.04
39.78687,-105.20659,1968.2
39.786946,-105.206419,1967.65
39.78725,-105.206284,1967.44
39.787547,-105.205359,1967.42
39.787919,-105.204569,1967.55
39.788106,-105.204371,1967.98
39.788437,-105.204245,1968.72
39.788879,-105.204281,1969.89
39.789576,-105.204793,1971.33
39.790128,-105.205485,1972.89
39.790239,-105.205476,1974.49
39.790446,-105.205027,1975.95
39.790715,-105.204739,1977.41
39.790998,-105.204569,1978.86
39.791378,-105.204461,1980.19
39.791599,-105.204461,1981.33
39.792227,-105.204595,1982.43
39.79262,-105.204416,1983.69
39.792758,-105.204173,1985.23
39.792896,-105.202988,1986.93
39.792827,-105.202475,1988.61
39.792572,-105.201676,1990.21
39.792116,-105.201236,1991.56
39.791985,-105.201056,1992.52
39.791668,-105.2004,1992.98
39.791536,-105.200005,1992.96
39.791447,-105.199978,1992.56
39.790598,-105.200176,1991.85
39.790377,-105.200311,1990.77
39.790287,-105.200418,1989.41
39.789756,-105.200634,1987.32
39.7893,-105.201344,1984.16
39.789369,-105.20182,1980.62
39.788416,-105.202287,1977.0
39.788168,-105.202628,1973.24
39.787906,-105.202413,1969.38
39.787291,-105.202493,1965.88
39.787126,-105.202646,1962.9
39.787091,-105.20297,1960.16
39.786725,-105.203221,1957.62
39.786387,-105.20323,1955.21
39.786056,-105.203095,1952.84
39.785566,-105.202664,1950.4
39.78549,-105.202458,1947.81
39.785496,-105.201856,1945.17
39.785276,-105.201038,1941.99
39.784827,-105.20005,1938.53
39.784578,-105.199754,1936.13
39.784496,-105.199825,1932.69
39.784109,-105.199484,1927.34
39.784219,-105.198918,1923.24
39.78433,-105.198819,1921.33
39.784385,-105.198397,1918.41
39.784585,-105.19793,1913.06
39.784799,-105.197337,1907.77
39.784986,-105.197041,1903.77
39.785117,-105.196753,1900.56
39.78511,-105.196627,1897.37
39.784986,-105.196574,1893.43
39.784675,-105.196735,1888.71
39.784716,-105.196457,1881.42
39.784917,-105.195918,1871.85
39.785207,-105.195585,1862.99
39.785676,-105.195397,1851.8
39.786007,-105.194957,1839.53
39.785455,-105.194804,1832.4
39.785241,-105.194651,1829.07
39.784875,-105.194678,1826.45
39.78462,-105.194741,1824.18
39.784357,-105.194966,1822.1
39.784068,-105.195379,1819.82
39.784095,-105.195235,1816.71
39.783957,-105.195397,1812.45
39.783709,-105.195226,1807.32
39.783446,-105.194858,1802.03
39.783136,-105.194031,1797.1
39.78288,-105.193888,1792.5
39.782535,-105.19351,1788.13
39.782155,-105.193187,1784.14
39.781707,-105.192864,1780.59
39.781417,-105.192765,1777.3
39.781147,-105.192585,1774.11
39.781506,-105.192549,1771.04
39.781741,-105.192657,1767.17
39.782038,-105.192738,1762.78
39.781575,-105.19219,1758.94
39.782148,-105.192136,1755.71
39.78219,-105.192037,1752.99
39.782038,-105.191786,1750.55
39.781548,-105.19175,1748.32
39.781437,-105.191615,1745.61
39.780982,-105.190914,1742.37
39.780581,-105.190824,1739.49
39.780257,-105.190456,1737.23
39.780098,-105.190375,1735.53
39.779346,-105.190483,1734.64
