latitude,longitude,elevation
35.062655,-106.380454,1956.04
35.062751,-106.379915,1961.05
35.062354,-106.37864,1967.29
35.062155,-106.3782,1974.28
35.062398,-106.377202,1981.89
35.063214,-106.376358,1988.08
35.063354,-106.376017,1991.47
35.063324,-106.375882,1993.44
35.062861,-106.375675,1996.18
35.062802,-106.374696,1999.66
35.062618,-106.374238,2003.48
35.063177,-106.37281,2007.86
35.063817,-106.371651,2011.66
35.064288,-106.37113,2013.95
35.064398,-106.371166,2015.2
35.064376,-106.37139,2015.92
35.064332,-106.371085,2016.29
35.064633,-106.370528,2016.4
35.06478,-106.370474,2016.08
35.064751,-106.370357,2015.26
35.064949,-106.370025,2014.79
35.065199,-106.369252,2014.96
35.065648,-106.368579,2014.75
35.06631,-106.368156,2014.23
35.067648,-106.367797,2014.47
35.068052,-106.36751,2015.64
35.068265,-106.367222,2017.09
35.068471,-106.366611,2018.13
35.068567,-106.366593,2019.05
35.068927,-106.366791,2021.38
35.069228,-106.366512,2025.75
35.069978,-106.365012,2030.86
35.07042,-106.364545,2035.15
35.070449,-106.364078,2038.14
35.070559,-106.363755,2040.26
35.070522,-106.363638,2041.98
35.070103,-106.363611,2043.34
35.069853,-106.363835,2044.07
35.069758,-106.363817,2043.88
35.069699,-106.363467,2042.98
35.068993,-106.363099,2041.99
35.068699,-106.363126,2041.12
35.068876,-106.363261,2039.85
35.068773,-106.36318,2037.43
35.068493,-106.362281,2033.67
35.069449,-106.362263,2029.07
35.070317,-106.362317,2024.35
35.070986,-106.362209,2020.21
35.071287,-106.362057,2016.92
35.07153,-106.362111,2014.33
35.071802,-106.361832,2012.12
35.071949,-106.361859,2009.78
35.072213,-106.361653,2006.97
35.072831,-106.362021,2003.82
35.073132,-106.362407,2000.65
35.073662,-106.362452,1997.92
35.073993,-106.362784,1996.3
35.07436,-106.362829,1996.39
35.074831,-106.362398,1998.41
35.075147,-106.361428,2001.75
35.076058,-106.360071,2005.26
35.076411,-106.359847,2008.25
